Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET
0.0,0.0,0.0,0.0,0.0,1.5,69.08,-12.0,0.0
1.0,0.0,0.0,0.0,0.0,1.6,90.66,-10.0,0.0
2.0,0.0,0.0,0.0,0.0,2.2,73.8,-8.0,0.0
3.0,0.0,0.0,0.0,0.0,1.8,77.76,-14.0,0.0
4.0,0.0,0.0,0.0,0.0,2.1,72.1,-5.0,0.0
5.0,0.0,0.0,0.0,0.0,1.5,77.41,1.0,0.0
6.0,0.0,0.0,0.0,0.0,1.9,86.51,-2.0,0.0
7.0,0.0,0.0,0.0,0.0,4.1,55.67,1.0,0.0
8.0,0.0,0.0,0.0,0.0,2.5,84.72,-7.0,0.0
9.0,0.0,0.0,0.0,0.0,3.8,77.35,-2.0,0.0
10.0,0.0,0.0,0.0,0.0,2.4,77.31,-1.0,0.0
11.0,0.0,0.0,0.0,0.0,1.0,93.54,-4.0,0.0
12.0,0.0,0.0,0.0,0.0,1.0,84.12,-4.0,0.0
13.0,0.0,0.0,0.0,0.0,0.8,94.33,-6.0,0.0
14.0,0.0,0.0,0.0,0.0,2.1,52.65,-5.0,0.0
15.0,0.0,0.0,0.0,0.0,4.3,49.13,0.0,0.0
16.0,0.0,0.0,0.0,0.0,3.6,62.93,0.0,0.0
17.0,0.0,0.0,0.0,0.0,3.9,43.62,-2.0,0.0
18.0,0.0,0.0,0.0,0.0,3.1,70.19,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.7,93.52,-1.0,0.0
20.0,0.0,0.0,0.0,0.0,0.9,75.77,-6.0,0.0
21.0,0.0,0.0,0.0,0.0,1.2,78.05,-9.0,0.0
22.0,0.0,0.0,0.0,0.0,3.0,53.07,-6.0,0.0
23.0,0.0,0.0,0.0,0.0,2.0,69.3,-4.0,0.0
24.0,0.0,0.0,0.0,0.0,1.8,76.85,-1.0,0.0
25.0,0.0,0.0,0.0,0.0,3.1,69.34,1.0,0.0
26.0,0.0,0.0,0.0,0.0,3.3,58.57,1.0,0.0
27.0,0.0,0.0,0.0,0.0,3.9,82.01,2.0,0.0
28.0,0.0,0.0,0.0,0.0,1.5,93.87,0.0,0.0
29.0,0.0,0.0,0.0,0.0,3.2,74.8,0.0,0.0
30.0,0.0,0.0,0.0,0.0,1.3,76.19,-1.0,0.0
31.0,0.0,0.0,0.0,0.0,2.5,89.18,-5.0,0.0
32.0,0.0,0.0,0.0,0.0,3.1,62.96,-3.0,0.0
33.0,0.0,0.0,0.0,0.0,3.5,69.61,0.0,0.0
34.0,0.0,0.0,0.0,0.0,3.2,77.35,1.0,0.0
35.0,0.0,0.0,0.0,0.0,2.0,75.86,0.0,0.0
36.0,0.0,0.0,0.0,0.0,3.0,68.13,2.0,0.0
37.0,0.0,0.0,0.0,0.0,4.8,54.91,4.0,0.0
38.0,0.0,0.0,0.0,0.0,4.1,73.52,2.0,0.0
39.0,0.0,0.0,0.0,0.0,1.7,75.77,0.0,0.0
40.0,0.0,0.0,0.0,0.0,2.6,81.37,2.0,0.0
41.0,0.0,0.0,0.0,0.0,1.8,93.31,0.0,0.0
42.0,0.0,0.0,0.0,0.0,1.8,62.49,-3.0,0.0
43.0,0.0,0.0,0.0,0.0,2.0,59.48,0.0,0.0
44.0,0.0,0.0,0.0,0.0,1.8,60.91,0.0,0.0
45.0,0.0,0.0,0.0,0.0,2.8,55.85,4.0,0.0
46.0,0.0,0.0,0.0,0.0,0.4,83.71,-4.0,0.0
47.0,0.0,0.0,0.0,0.0,1.1,66.03,-8.0,0.0
48.0,0.0,0.0,0.0,0.0,1.7,52.7,-6.0,0.0
49.0,0.0,0.0,0.0,0.0,3.7,62.5,-1.0,0.0
50.0,0.0,0.0,0.0,0.0,2.7,63.57,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.4,94.76,-3.0,0.0
52.0,0.0,0.0,0.0,0.0,2.0,73.08,-11.0,0.0
53.0,0.0,0.0,0.0,0.0,2.9,69.51,-12.0,0.0
54.0,0.0,0.0,0.0,0.0,1.7,51.67,-9.0,0.0
55.0,0.0,0.0,0.0,0.0,3.5,70.54,-2.0,0.0
56.0,0.0,0.0,0.0,0.0,3.7,80.04,-8.0,0.0
57.0,0.0,0.0,0.0,0.0,4.9,67.6,-12.0,0.0
58.0,0.0,0.0,0.0,0.0,1.6,77.83,-11.0,0.0
59.0,0.0,0.0,0.0,0.0,1.4,87.32,-8.0,0.0
60.0,0.0,0.0,0.0,0.0,3.2,88.06,-5.0,0.0
61.0,0.0,0.0,0.0,0.0,2.7,75.85,-2.0,0.0
62.0,0.0,0.0,0.0,0.0,3.2,80.63,-8.0,0.0
63.0,0.0,0.0,0.0,0.0,3.4,60.64,-13.0,0.0
64.0,0.0,0.0,0.0,0.0,2.9,67.59,-4.0,0.0
65.0,0.0,0.0,0.0,0.0,1.8,65.57,-3.0,0.0
66.0,0.0,0.0,0.0,0.0,1.9,69.41,-2.0,0.0
67.0,0.0,0.0,0.0,0.0,3.0,77.83,-2.0,0.0
68.0,0.0,0.0,0.0,0.0,1.7,72.53,-2.0,0.0
69.0,0.0,0.0,0.0,0.0,2.1,67.16,-2.0,0.0
70.0,0.0,0.0,0.0,0.0,1.9,63.34,2.0,0.0
71.0,0.0,0.0,0.0,0.0,2.1,100.0,2.0,0.0
72.0,0.0,0.0,0.0,0.0,0.9,74.56,2.0,0.0
73.0,0.0,0.0,0.0,0.0,3.1,66.52,3.0,0.0
74.0,0.0,0.0,0.0,0.0,3.4,45.56,7.0,0.0
75.0,0.0,0.0,0.0,0.0,1.2,97.46,3.0,0.0
76.0,0.0,0.0,0.0,0.0,1.5,82.29,4.0,0.0
77.0,0.0,0.0,0.0,0.0,1.0,91.54,5.0,0.0
78.0,0.0,0.0,0.0,0.0,1.6,86.53,0.0,0.0
79.0,0.0,0.0,0.0,0.0,1.7,55.76,2.0,0.0
80.0,0.0,0.0,0.0,0.0,2.5,57.59,4.0,0.0
81.0,0.0,0.0,0.0,0.0,1.6,78.43,5.0,0.0
82.0,0.0,0.0,0.0,0.0,1.6,90.99,3.0,0.0
83.0,0.0,0.0,0.0,0.0,0.6,74.83,2.0,0.0
84.0,0.0,0.0,0.0,0.0,2.0,71.49,-3.0,0.0
85.0,0.0,0.0,0.0,0.0,1.9,81.85,1.0,0.0
86.0,0.0,0.0,0.0,0.0,2.8,69.42,6.0,0.0
87.0,0.0,0.0,0.0,0.0,2.4,68.43,6.0,0.0
88.0,0.0,0.0,0.0,0.0,2.4,55.87,4.0,0.0
89.0,0.0,0.0,0.0,0.0,1.6,56.59,5.0,0.0
90.0,0.0,0.0,0.0,0.0,2.9,52.78,7.0,0.0
91.0,0.0,0.0,0.0,0.0,2.8,91.29,2.0,0.0
92.0,0.0,0.0,0.0,0.0,1.9,77.61,-2.0,0.0
93.0,0.0,0.0,0.0,0.0,2.3,64.14,-3.0,0.0
94.0,0.0,0.0,0.0,0.0,1.7,54.56,2.0,0.0
95.0,0.0,0.0,0.0,0.0,2.5,46.93,4.0,0.0
96.0,0.0,0.0,0.0,0.0,2.8,51.33,4.0,0.0
97.0,0.0,0.0,0.0,0.0,0.9,68.61,2.0,0.0
98.0,0.0,0.0,0.0,0.0,1.4,71.87,0.0,0.0
99.0,0.0,0.0,0.0,0.0,2.4,70.46,0.0,0.0
100.0,0.0,0.0,0.0,0.0,1.9,60.75,2.0,0.0
101.0,0.0,0.0,0.0,0.0,2.2,57.05,4.0,0.0
102.0,0.0,0.0,0.0,0.0,1.4,57.76,0.0,0.0
103.0,0.0,0.0,0.0,0.0,3.8,48.88,5.0,0.0
104.0,0.0,0.0,0.0,0.0,4.4,50.15,6.0,0.0
105.0,0.0,0.0,0.0,0.0,4.7,72.57,0.0,0.0
106.0,0.0,0.0,0.0,0.0,2.0,98.01,0.0,0.0
107.0,0.0,0.0,0.0,0.0,1.5,78.45,-3.0,0.0
108.0,0.0,0.0,0.0,0.0,5.1,86.26,0.0,0.0
109.0,0.0,0.0,0.0,0.0,0.6,82.97,-1.0,0.0
110.0,0.0,0.0,0.0,0.0,2.6,76.29,-1.0,0.0
111.0,0.0,0.0,0.0,0.0,1.3,88.25,2.0,0.0
112.0,0.0,0.0,0.0,0.0,1.7,83.35,4.0,0.0
113.0,0.0,0.0,0.0,0.0,1.8,69.84,4.0,0.0
114.0,0.0,0.0,0.0,0.0,1.2,76.11,4.0,0.0
