,0
0,5.9767626e-07
1,5.9767626e-07
2,5.9767626e-07
3,5.9767626e-07
4,5.9767626e-07
5,5.9767626e-07
6,5.9767626e-07
7,5.9767626e-07
8,5.9767626e-07
9,5.9767626e-07
10,5.9767626e-07
11,5.9767626e-07
12,5.9767626e-07
13,5.9767626e-07
14,5.9767626e-07
15,4196.078
16,5560.0605
17,6920.516
18,8127.4473
19,5.9767626e-07
20,9619.7
21,10314.061
22,5.9767626e-07
23,9266.06
24,5.9767626e-07
25,8615.154
26,7534.503
27,5.9767626e-07
28,6267.1084
29,5.9767626e-07
30,4590.4097
31,3595.6104
32,2698.4265
33,1722.3573
34,5.9767626e-07
35,5.9767626e-07
36,5.9767626e-07
37,5.9767626e-07
38,5.9767626e-07
39,5.9767626e-07
40,5.9767626e-07
41,5.9767626e-07
42,5.9767626e-07
43,5.9767626e-07
44,5.9767626e-07
45,5.9767626e-07
46,5.9767626e-07
47,5.9767626e-07
48,5.9767626e-07
49,5.9767626e-07
50,5.9767626e-07
51,5.9767626e-07
52,5.9767626e-07
53,5.9767626e-07
54,5.9767626e-07
55,5.9767626e-07
56,5.9767626e-07
57,5.9767626e-07
58,5.9767626e-07
59,5.9767626e-07
60,5.9767626e-07
61,5.9767626e-07
62,2294.2239
63,5.9767626e-07
64,5438.79
65,6608.3975
66,8142.6045
67,8354.158
68,9309.462
69,9372.835
70,8992.38
71,8945.977
72,5.9767626e-07
73,7952.3047
74,5.9767626e-07
75,5909.84
76,5751.1514
77,5.9767626e-07
78,4007.2837
79,5.9767626e-07
80,2198.2634
81,5.9767626e-07
82,5.9767626e-07
83,79.39365
84,5.9767626e-07
85,5.9767626e-07
86,5.9767626e-07
87,5.9767626e-07
88,5.9767626e-07
89,5.9767626e-07
90,5.9767626e-07
91,5.9767626e-07
92,5.9767626e-07
93,5.9767626e-07
94,5.9767626e-07
95,5.9767626e-07
96,5.9767626e-07
97,5.9767626e-07
98,5.9767626e-07
99,5.9767626e-07
100,5.9767626e-07
101,5.9767626e-07
102,5.9767626e-07
103,5.9767626e-07
104,5.9767626e-07
105,5.9767626e-07
106,5.9767626e-07
107,5.9767626e-07
108,5.9767626e-07
109,5.9767626e-07
110,5.9767626e-07
111,5004.0386
112,6545.5063
113,8096.563
114,9507.884
115,5.9767626e-07
116,11167.223
117,11928.465
118,5.9767626e-07
119,10664.613
120,5.9767626e-07
121,9874.994
122,8615.799
123,5.9767626e-07
124,7148.3174
125,5.9767626e-07
126,5273.581
127,4113.4067
128,3099.9375
129,2018.1324
130,5.9767626e-07
131,5.9767626e-07
132,5.9767626e-07
133,5.9767626e-07
134,5.9767626e-07
135,5.9767626e-07
136,5.9767626e-07
137,5.9767626e-07
138,5.9767626e-07
139,5.9767626e-07
140,5.9767626e-07
141,5.9767626e-07
142,5.9767626e-07
143,5.9767626e-07
144,5.9767626e-07
145,5.9767626e-07
146,5.9767626e-07
147,5.9767626e-07
148,5.9767626e-07
149,5.9767626e-07
150,5.9767626e-07
151,5.9767626e-07
152,5.9767626e-07
153,5.9767626e-07
154,5.9767626e-07
155,5.9767626e-07
156,5.9767626e-07
157,5.9767626e-07
158,2830.9575
159,5.9767626e-07
160,6415.617
161,7758.428
162,9505.954
163,9768.2295
164,10802.733
165,10849.254
166,10329.406
167,10278.156
168,5.9767626e-07
169,9131.918
170,5.9767626e-07
171,6824.0034
172,6606.6533
173,5.9767626e-07
174,4608.1045
175,5.9767626e-07
176,2551.2913
177,5.9767626e-07
178,5.9767626e-07
179,144.11252
180,5.9767626e-07
181,5.9767626e-07
182,5.9767626e-07
183,5.9767626e-07
184,5.9767626e-07
185,5.9767626e-07
186,5.9767626e-07
187,5.9767626e-07
188,5.9767626e-07
189,5.9767626e-07
190,5.9767626e-07
191,5.9767626e-07
192,5.9767626e-07
193,5.9767626e-07
194,5.9767626e-07
195,5.9767626e-07
196,5.9767626e-07
197,5.9767626e-07
198,5.9767626e-07
199,5.9767626e-07
200,5.9767626e-07
201,5.9767626e-07
202,5.9767626e-07
203,5.9767626e-07
204,5.9767626e-07
205,5.9767626e-07
206,5.9767626e-07
207,5292.0264
208,6840.499
209,8407.886
210,9873.258
211,5.9767626e-07
212,11496.269
213,12222.693
214,5.9767626e-07
215,10865.5
216,5.9767626e-07
217,10019.588
218,8719.788
219,5.9767626e-07
220,7226.643
221,5.9767626e-07
222,5368.1875
223,4177.391
224,3156.4592
225,2094.768
226,5.9767626e-07
227,5.9767626e-07
228,5.9767626e-07
229,5.9767626e-07
230,5.9767626e-07
231,5.9767626e-07
232,5.9767626e-07
233,5.9767626e-07
234,5.9767626e-07
235,5.9767626e-07
236,5.9767626e-07
237,5.9767626e-07
238,5.9767626e-07
239,5.9767626e-07
240,5.9767626e-07
241,5.9767626e-07
242,5.9767626e-07
243,5.9767626e-07
244,5.9767626e-07
245,5.9767626e-07
246,5.9767626e-07
247,5.9767626e-07
248,5.9767626e-07
249,5.9767626e-07
250,5.9767626e-07
251,5.9767626e-07
252,5.9767626e-07
253,5.9767626e-07
254,3102.4182
255,5.9767626e-07
256,6725.793
257,8076.7197
258,9846.356
259,10126.618
260,11124.42
261,11132.929
262,10522.805
263,10462.359
264,5.9767626e-07
265,9297.726
266,5.9767626e-07
267,6990.0093
268,6733.7617
269,5.9767626e-07
270,4688.629
271,5.9767626e-07
272,2620.549
273,5.9767626e-07
274,5.9767626e-07
275,211.14363
276,5.9767626e-07
277,5.9767626e-07
278,5.9767626e-07
279,5.9767626e-07
280,5.9767626e-07
281,5.9767626e-07
282,5.9767626e-07
283,5.9767626e-07
284,5.9767626e-07
285,5.9767626e-07
286,5.9767626e-07
287,5.9767626e-07
288,5.9767626e-07
289,5.9767626e-07
290,5.9767626e-07
291,5.9767626e-07
292,5.9767626e-07
293,5.9767626e-07
294,5.9767626e-07
295,5.9767626e-07
296,5.9767626e-07
297,5.9767626e-07
298,5.9767626e-07
299,5.9767626e-07
300,5.9767626e-07
301,5.9767626e-07
302,5.9767626e-07
303,6394.654
304,8211.378
305,10043.304
306,11774.85
307,5.9767626e-07
308,13713.446
309,14531.968
310,5.9767626e-07
311,12852.816
312,5.9767626e-07
313,11886.503
314,10312.6455
315,5.9767626e-07
316,8531.987
317,5.9767626e-07
318,6337.8584
319,4954.586
320,3722.097
321,2514.2256
322,5.9767626e-07
323,5.9767626e-07
324,5.9767626e-07
325,5.9767626e-07
326,5.9767626e-07
327,5.9767626e-07
328,5.9767626e-07
329,5.9767626e-07
330,5.9767626e-07
331,5.9767626e-07
332,5.9767626e-07
