id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.97,2.12,3.16,2.97,5.87,6.05,12.1,9.38,9.95
0.csv_Day7_8h00m,2.76,5.05,7.81,9.61,11.56,16.08,15.63,17.94,23.77
0.csv_Day7_8h30m,4.75,6.76,8.28,8.01,9.06,10.02,12.5,17.12,24.49
0.csv_Day7_9h00m,11.61,17.32,18.29,20.56,24.85,23.05,14.06,18.04,33.61
0.csv_Day7_9h30m,14.2,21.38,23.24,22.58,26.05,20.65,17.32,14.64,33.8
0.csv_Day7_10h00m,21.49,28.96,29.1,33.27,31.56,33.11,31.01,28.26,29.17
0.csv_Day7_10h30m,24.1,30.03,28.3,33.78,33.87,34.79,33.88,32.01,32.85
0.csv_Day7_11h00m,25.48,34.05,36.72,42.75,43.5,40.72,36.96,35.52,35.34
0.csv_Day7_11h30m,20.76,28.78,29.97,33.22,33.62,30.25,35.3,30.65,36.68
0.csv_Day7_12h00m,22.27,29.67,32.84,32.93,33.92,33.34,31.62,30.62,33.8
0.csv_Day7_12h30m,25.92,29.25,31.02,35.39,36.5,37.16,35.04,33.3,33.4
0.csv_Day7_13h00m,21.77,25.13,32.15,33.34,34.57,34.21,32.68,28.68,31.04
0.csv_Day7_13h30m,17.22,22.47,29.31,31.56,34.32,26.05,26.48,22.82,41.45
0.csv_Day7_14h00m,16.17,20.45,25.08,25.44,29.41,28.16,24.38,24.37,29.76
0.csv_Day7_14h30m,15.45,20.1,22.08,22.27,25.23,23.92,25.13,23.46,26.33
0.csv_Day7_15h00m,9.95,16.04,15.92,16.68,20.23,21.0,22.48,23.37,24.53
0.csv_Day7_15h30m,9.72,12.89,15.35,16.66,20.26,16.16,15.91,16.1,20.67
0.csv_Day7_16h00m,6.34,8.79,9.17,10.17,9.75,8.84,7.81,9.18,14.39
0.csv_Day7_16h30m,1.99,4.59,4.52,3.92,3.74,0.06,-0.19,2.49,20.21
