id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_0h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_1h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_1h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_2h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_2h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_3h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_3h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_4h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_4h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_5h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_5h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_6h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_6h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_7h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_7h30m,0,0,0,0.89,0.18,2.09,2.97,5.45,33.99
0.csv_Day7_8h00m,0,1.65,0,7.64,8.99,7.66,8.96,13.21,33.99
0.csv_Day7_8h30m,0,8.02,16.19,14.35,14.63,15.3,16.04,3.53,33.99
0.csv_Day7_9h00m,0,7.22,18.01,21.36,22.16,23.83,24.98,28.69,37.58
0.csv_Day7_9h30m,0,15.24,24.34,0,0,0,32.16,3.53,39.72
0.csv_Day7_10h00m,0,13.65,35.03,0,36.67,37.7,37.83,41.67,33.99
0.csv_Day7_10h30m,0,25.65,38.3,38.59,40,0,43.94,45.33,44.67
0.csv_Day7_11h00m,0,29.68,46.48,42.95,44.48,43.04,45.87,3.53,33.99
0.csv_Day7_11h30m,0,31.97,48.24,42.56,48.92,44.99,0,49.48,48.08
0.csv_Day7_12h00m,0,28.59,44.87,44.83,46.41,0,47.93,50.03,48.48
0.csv_Day7_12h30m,0,27.61,51.46,42.43,46.06,42.21,45.27,48.87,33.99
0.csv_Day7_13h00m,0,39.8,39.88,40.08,0,38.45,40.87,46.08,46.32
0.csv_Day7_13h30m,0,26.1,34.66,36.23,37.44,39.33,39.88,42.53,44.83
0.csv_Day7_14h00m,0,29.34,36.08,35.06,38.85,34.43,34.7,37.7,42.45
0.csv_Day7_14h30m,0,29.27,30.72,26.63,30.67,0,29.64,31.58,33.99
0.csv_Day7_15h00m,0,17.68,23.34,15.76,23.72,0,22.19,24.68,35.48
0.csv_Day7_15h30m,0,17.07,17.62,0,0,0,15.56,3.53,33.99
0.csv_Day7_16h00m,0,0,8.95,10.49,11.81,9.12,8.1,9.79,33.99
0.csv_Day7_16h30m,0,0,0,0,0,0.67,0.45,3.53,33.99
0.csv_Day7_17h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_17h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_18h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_18h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_19h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_19h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_20h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_20h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_21h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_21h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_22h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_22h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_23h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day7_23h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_0h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_0h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_1h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_1h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_2h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_2h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_3h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_3h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_4h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_4h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_5h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_5h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_6h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_6h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_7h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_7h30m,0,0,0,2.54,2.42,3.89,3.13,4.95,33.99
0.csv_Day8_8h00m,0,4.04,8.74,10.49,8.31,10.95,0,12.43,33.99
0.csv_Day8_8h30m,0,14.3,18.78,15.96,15.56,0,17.66,20.25,35.24
0.csv_Day8_9h00m,0.04,17.72,25.26,21.78,21.1,0,24.75,27.58,36.32
0.csv_Day8_9h30m,0,27.11,26.72,0,27.22,0,32.41,3.53,39.09
0.csv_Day8_10h00m,0,31.1,32.65,36.15,37.01,0,37.35,40.5,33.99
0.csv_Day8_10h30m,0,38.49,0,41.69,41.01,40.87,42.1,44.13,33.99
0.csv_Day8_11h00m,0.04,41.68,50.84,46.98,47.51,47.09,46.88,3.53,33.99
0.csv_Day8_11h30m,0,46.32,49.55,47.21,45.41,47.32,47.67,49.18,48.28
0.csv_Day8_12h00m,0,51.04,51.88,52.24,46.36,0,48.8,51.47,48.95
0.csv_Day8_12h30m,0,47.66,53.79,50.25,46.9,0,0,48.56,48.65
0.csv_Day8_13h00m,0,38.96,46.01,0,41.7,0,44.25,3.53,47.34
0.csv_Day8_13h30m,0.04,36.82,41.58,0,41.42,0,0,41.4,45.73
0.csv_Day8_14h00m,0,35.52,29.52,0,32.65,35.65,34.56,3.53,43.44
0.csv_Day8_14h30m,0,23.24,30.43,32.1,28.03,0,29.34,31.2,33.99
0.csv_Day8_15h00m,0,21.17,24.8,25.65,28.54,23.1,21.74,24.34,33.99
0.csv_Day8_15h30m,0,15.88,15.41,17.07,16.77,16.94,15.38,17.12,33.99
0.csv_Day8_16h00m,0,8.26,10.44,13.67,13.35,0,8.08,9.56,33.99
0.csv_Day8_16h30m,0,0.14,2.05,3.59,5.03,0,0,3.53,33.99
0.csv_Day8_17h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_17h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_18h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_18h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_19h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_19h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_20h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_20h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_21h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_21h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_22h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_22h30m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_23h00m,0,0,0,0,0,0,0,3.53,33.99
0.csv_Day8_23h30m,0,0,0,0,0,0,0,3.53,33.99
1.csv_Day7_0h00m,0,0,0,0,0,0,0,3.53,33.99
1.csv_Day7_0h30m,0,0,0,0,0,0,0,3.53,33.99
1.csv_Day7_1h00m,0,0,0,0,0,0,0,3.53,33.99
1.csv_Day7_1h30m,0,0,0,0,0,0,0,3.53,33.99
1.csv_Day7_2h00m,0,0,0,0,0,0,0,3.53,33.99
