,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,2.97
16,8.96
17,16.04
18,24.98
19,32.16
20,37.83
21,43.94
22,45.87
23,0.0
24,47.93
25,45.27
26,40.87
27,39.88
28,34.7
29,29.64
30,22.19
31,15.56
32,8.1
33,0.45
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,3.13
64,0.0
65,17.66
66,24.75
67,32.41
68,37.35
69,42.1
70,46.88
71,47.67
72,48.8
73,0.0
74,44.25
75,0.0
76,34.56
77,29.34
78,21.74
79,15.38
80,8.08
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,3.97
112,9.65
113,18.93
114,27.01
115,35.9
116,41.14
117,47.89
118,50.85
119,0.0
120,50.74
121,52.58
122,45.74
123,46.85
124,42.12
125,34.11
126,28.31
127,19.25
128,11.39
129,3.66
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,4.29
160,0.0
161,18.64
162,25.63
163,33.42
164,37.47
165,42.13
166,48.9
167,48.35
168,50.35
169,0.0
170,47.11
171,0.0
172,39.11
173,34.76
174,26.25
175,20.55
176,12.54
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,8.05
209,14.18
210,20.65
211,25.12
212,32.95
213,38.38
214,40.98
215,0.0
216,40.59
217,43.7
218,38.7
219,36.24
220,32.4
221,27.53
222,21.32
223,16.88
224,9.77
225,2.49
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.2
256,0.0
257,13.68
258,20.04
259,28.01
260,31.52
261,35.45
262,41.01
263,40.49
264,42.27
265,0.0
266,38.73
267,0.0
268,32.36
269,26.95
270,20.11
271,15.37
272,7.85
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,10.76
304,20.68
305,32.2
306,40.08
307,48.55
308,56.23
309,62.74
310,67.9
311,0.0
312,68.91
313,69.91
314,65.19
315,63.84
316,58.41
317,52.87
318,45.3
319,39.28
320,29.84
321,20.84
322,0.0
323,3.87
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,3.65
351,12.08
352,0.0
353,29.52
354,38.2
355,48.89
356,55.93
357,60.98
358,68.44
359,69.12
360,70.26
361,0.0
362,64.24
363,0.0
364,56.81
365,53.03
366,41.32
367,37.54
368,28.75
369,0.0
370,0.0
371,1.98
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,2.21
398,0.0
399,20.84
400,35.41
401,45.95
402,54.53
403,61.49
404,68.52
405,74.92
406,80.49
407,0.0
408,83.91
409,86.9
410,81.76
411,76.64
412,71.46
413,64.47
414,53.05
415,47.19
416,36.61
417,27.69
418,0.0
419,8.46
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,2.26
446,12.77
447,23.47
448,0.0
449,42.26
450,50.78
451,61.8
452,66.0
453,72.59
454,78.16
455,78.83
456,79.82
457,0.0
458,74.13
459,0.0
460,69.17
461,56.64
462,47.35
463,41.61
464,31.49
465,0.0
466,0.0
467,6.23
468,2.63
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,9.95
493,17.7
494,0.0
495,36.02
496,45.83
497,54.05
498,62.34
499,68.03
500,76.52
501,80.74
502,82.6
503,0.0
504,85.61
505,83.61
506,80.71
507,77.36
508,68.82
509,65.04
510,56.56
511,50.35
512,41.65
513,33.35
514,0.0
515,19.16
516,0.0
517,6.02
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,2.54
540,8.52
541,17.21
542,25.87
543,35.21
544,0.0
545,52.09
546,59.68
547,69.1
548,75.95
549,78.82
550,83.17
551,82.72
552,84.36
553,0.0
554,80.38
555,0.0
556,71.17
557,64.1
558,54.5
559,49.61
560,41.46
561,0.0
562,0.0
563,13.13
564,7.16
565,2.26
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
