id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,22.8700008392334,40.47999954223633,60.97999954223633
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.100000381469727,40.47999954223633,60.93000030517578
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.200000762939453,40.47999954223633,60.900001525878906
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.25,40.47999954223633,61.540000915527344
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.110000610351562,40.47999954223633,61.540000915527344
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,22.920000076293945,40.47999954223633,60.7599983215332
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.200000762939453,40.47999954223633,61.2400016784668
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.270000457763672,40.47999954223633,60.97999954223633
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.270000457763672,40.47999954223633,61.060001373291016
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,22.920000076293945,40.47999954223633,61.09000015258789
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,8.470000267028809,23.239999771118164,40.47999954223633,61.540000915527344
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,8.550000190734863,22.8799991607666,40.47999954223633,61.27000045776367
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,8.569999694824219,22.989999771118164,40.47999954223633,61.5099983215332
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,8.890000343322754,23.270000457763672,40.47999954223633,61.560001373291016
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,9.020000457763672,23.200000762939453,40.47999954223633,61.70000076293945
0.csv_Day7_7h30m,0.0,0.0,0.0,0.0,0.0,9.039999961853027,23.389999389648438,40.61000061035156,61.560001373291016
0.csv_Day7_8h00m,0.0,0.0,0.0,0.0,0.0,9.130000114440918,23.6200008392334,40.79999923706055,61.58000183105469
0.csv_Day7_8h30m,0.0,0.0,0.0,0.0,0.0,9.279999732971191,23.739999771118164,41.04999923706055,61.38999938964844
0.csv_Day7_9h00m,0.0,0.0,0.0,0.0,0.0,9.289999961853027,23.93000030517578,41.540000915527344,61.540000915527344
0.csv_Day7_9h30m,0.0,0.0,0.0,0.0,0.0,9.390000343322754,23.8799991607666,41.43000030517578,61.66999816894531
0.csv_Day7_10h00m,0.0,0.0,0.0,0.0,0.0,9.489999771118164,23.989999771118164,41.369998931884766,61.7400016784668
0.csv_Day7_10h30m,0.0,0.0,0.0,0.0,0.0,9.609999656677246,24.049999237060547,41.470001220703125,61.7400016784668
0.csv_Day7_11h00m,0.0,0.0,0.0,0.0,0.0,9.600000381469727,24.229999542236328,41.380001068115234,61.779998779296875
0.csv_Day7_11h30m,0.0,0.0,0.0,0.0,0.0,9.579999923706055,24.270000457763672,41.560001373291016,61.540000915527344
0.csv_Day7_12h00m,0.0,0.0,0.0,0.0,0.0,9.760000228881836,24.139999389648438,41.459999084472656,61.43000030517578
0.csv_Day7_12h30m,0.0,0.0,0.0,0.0,0.0,9.600000381469727,24.229999542236328,41.66999816894531,61.5
0.csv_Day7_13h00m,0.0,0.0,0.0,0.0,0.0,9.630000114440918,24.170000076293945,41.279998779296875,61.470001220703125
0.csv_Day7_13h30m,0.0,0.0,0.0,0.0,0.0,9.399999618530273,23.270000457763672,41.40999984741211,61.529998779296875
0.csv_Day7_14h00m,0.0,0.0,0.0,0.0,0.0,9.420000076293945,24.06999969482422,41.33000183105469,61.540000915527344
0.csv_Day7_14h30m,0.0,0.0,0.0,0.0,0.0,9.4399995803833,23.950000762939453,41.16999816894531,61.25
0.csv_Day7_15h00m,0.0,0.0,0.0,0.0,0.0,9.329999923706055,23.270000457763672,40.95000076293945,61.38999938964844
0.csv_Day7_15h30m,0.0,0.0,0.0,0.0,0.0,9.260000228881836,23.940000534057617,40.79999923706055,61.29999923706055
0.csv_Day7_16h00m,0.0,0.0,0.0,0.0,0.0,9.170000076293945,23.850000381469727,40.88999938964844,61.13999938964844
0.csv_Day7_16h30m,0.0,0.0,0.0,0.0,0.0,9.130000114440918,23.729999542236328,40.709999084472656,61.540000915527344
0.csv_Day7_17h00m,0.0,0.0,0.0,0.0,0.0,9.069999694824219,23.399999618530273,40.5099983215332,61.529998779296875
0.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,8.890000343322754,23.270000457763672,40.61000061035156,61.38999938964844
0.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,8.890000343322754,23.270000457763672,40.47999954223633,61.33000183105469
0.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.270000457763672,40.47999954223633,61.43000030517578
0.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,8.680000305175781,23.270000457763672,40.47999954223633,61.540000915527344
0.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.260000228881836,40.650001525878906,61.540000915527344
0.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.270000457763672,40.52000045776367,61.540000915527344
0.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.270000457763672,40.61000061035156,61.439998626708984
0.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.270000457763672,40.47999954223633,61.220001220703125
0.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.059999465942383,40.47999954223633,61.189998626708984
0.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.270000457763672,40.47999954223633,61.290000915527344
0.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.209999084472656,40.47999954223633,61.04999923706055
0.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,23.270000457763672,40.47999954223633,61.130001068115234
0.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,8.449999809265137,22.959999084472656,40.47999954223633,60.75
0.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,22.81999969482422,40.52000045776367,60.939998626708984
0.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,23.06999969482422,40.52000045776367,60.900001525878906
0.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,23.15999984741211,40.52000045776367,60.869998931884766
0.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,23.219999313354492,40.52000045776367,61.439998626708984
0.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,23.06999969482422,40.52000045776367,61.439998626708984
0.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,22.8799991607666,40.52000045776367,60.72999954223633
0.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,23.15999984741211,40.52000045776367,61.209999084472656
0.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,23.25,40.52000045776367,60.95000076293945
0.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,23.25,40.52000045776367,61.029998779296875
0.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,8.4399995803833,22.8799991607666,40.52000045776367,61.060001373291016
0.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,8.470000267028809,23.209999084472656,40.52000045776367,61.439998626708984
0.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,8.5600004196167,22.84000015258789,40.52000045776367,61.2400016784668
0.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,8.579999923706055,22.950000762939453,40.52000045776367,61.47999954223633
0.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,8.930000305175781,23.25,40.52000045776367,61.529998779296875
0.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,9.0600004196167,23.15999984741211,40.52000045776367,61.66999816894531
0.csv_Day8_7h30m,0.0,0.0,0.0,0.0,0.0,9.079999923706055,23.3700008392334,40.619998931884766,61.529998779296875
0.csv_Day8_8h00m,0.0,0.0,0.0,0.0,0.0,9.170000076293945,23.610000610351562,40.790000915527344,61.540000915527344
0.csv_Day8_8h30m,0.0,0.0,0.0,0.0,0.0,9.300000190734863,23.739999771118164,41.040000915527344,61.369998931884766
0.csv_Day8_9h00m,0.0,0.0,0.0,0.0,0.0,9.329999923706055,23.93000030517578,41.52000045776367,61.439998626708984
0.csv_Day8_9h30m,0.0,0.0,0.0,0.0,0.0,9.4399995803833,23.8700008392334,41.38999938964844,61.63999938964844
0.csv_Day8_10h00m,0.0,0.0,0.0,0.0,0.0,9.550000190734863,23.989999771118164,41.349998474121094,61.709999084472656
0.csv_Day8_10h30m,0.0,0.0,0.0,0.0,0.0,9.609999656677246,24.06999969482422,41.459999084472656,61.720001220703125
0.csv_Day8_11h00m,0.0,0.0,0.0,0.0,0.0,9.630000114440918,24.270000457763672,41.369998931884766,61.75
0.csv_Day8_11h30m,0.0,0.0,0.0,0.0,0.0,9.640000343322754,24.329999923706055,41.560001373291016,61.439998626708984
0.csv_Day8_12h00m,0.0,0.0,0.0,0.0,0.0,9.75,24.190000534057617,41.439998626708984,61.400001525878906
0.csv_Day8_12h30m,0.0,0.0,0.0,0.0,0.0,9.59000015258789,24.270000457763672,41.65999984741211,61.470001220703125
0.csv_Day8_13h00m,0.0,0.0,0.0,0.0,0.0,9.6899995803833,24.200000762939453,41.279998779296875,61.45000076293945
0.csv_Day8_13h30m,0.0,0.0,0.0,0.0,0.0,9.430000305175781,23.25,41.38999938964844,61.5099983215332
0.csv_Day8_14h00m,0.0,0.0,0.0,0.0,0.0,9.449999809265137,24.09000015258789,41.31999969482422,61.439998626708984
0.csv_Day8_14h30m,0.0,0.0,0.0,0.0,0.0,9.460000038146973,23.950000762939453,41.150001525878906,61.220001220703125
