Day,DHI,DNI,WS,RH,T,TARGET,target1,target2
0,0,0,1.5,69.08,-12,0.0,0.0,0.0
0,0,0,1.5,69.06,-12,0.0,0.0,0.0
0,0,0,1.6,71.78,-12,0.0,0.0,0.0
0,0,0,1.6,71.75,-12,0.0,0.0,0.0
0,0,0,1.6,75.2,-12,0.0,0.0,0.0
0,0,0,1.5,69.29,-11,0.0,0.0,0.0
0,0,0,1.5,72.56,-11,0.0,0.0,0.0
0,0,0,1.4,72.55,-11,0.0,0.0,0.0
0,0,0,1.3,74.62,-11,0.0,0.0,0.0
0,0,0,1.3,74.61,-11,0.0,0.0,0.0
0,0,0,1.3,73.74,-11,0.0,0.0,0.0
0,0,0,1.3,73.73,-11,0.0,0.0,0.0
0,0,0,1.4,72.22,-12,0.0,0.0,0.0
0,0,0,1.4,72.22,-12,0.0,0.0,0.0
0,0,0,1.4,70.27,-12,0.0,0.0,0.0
0,0,0,1.6,64.83,-10,0.0,0.0,0.0
0,29,494,1.8,65.45,-9,7.039286991,7.039286991,7.039286991
0,61,7,1.9,55.9,-7,5.912871119,5.912871119,5.912871119
0,58,743,2.1,57.39,-6,22.33726765,22.33726765,22.33726765
0,67,811,1.9,53.15,-4,29.46952894,29.46952894,29.46952894
0,138,368,1.8,55.99,-3,25.33976234,25.33976234,25.33976234
0,178,224,1.9,55.97,-3,25.1520604,25.1520604,25.1520604
0,193,261,2.0,58.43,-3,28.71839732,28.71839732,28.71839732
0,189,364,2.3,58.41,-3,33.12939298,33.12939298,33.12939298
0,190,37,2.6,59.19,-3,19.42715113,19.42715113,19.42715113
0,213,133,2.9,59.18,-3,25.71516623,25.71516623,25.71516623
0,211,114,3.2,63.27,-4,24.58922479,24.58922479,24.58922479
0,185,101,3.1,63.27,-4,21.30440468,21.30440468,21.30440468
0,124,2,3.0,62.84,-4,11.73150038,11.73150038,11.73150038
0,135,69,2.7,62.85,-4,14.73476447,14.73476447,14.73476447
0,62,0,2.5,68.55,-5,5.8188881310000005,5.8188881310000005,5.8188881310000005
0,73,39,2.2,68.55,-5,7.6020957839999985,7.6020957839999985,7.6020957839999985
0,41,11,2.0,70.27,-6,4.035724827,4.035724827,4.035724827
0,10,0,2.0,70.28,-6,0.938540658,0.938540658,0.938540658
0,0,0,2.0,71.33,-7,0.0,0.0,0.0
0,0,0,2.0,71.35,-7,0.0,0.0,0.0
0,0,0,2.1,76.43,-8,0.0,0.0,0.0
0,0,0,2.2,76.44,-8,0.0,0.0,0.0
0,0,0,2.3,76.72,-8,0.0,0.0,0.0
0,0,0,2.2,76.72,-8,0.0,0.0,0.0
0,0,0,2.2,77.51,-8,0.0,0.0,0.0
0,0,0,2.0,77.51,-8,0.0,0.0,0.0
0,0,0,1.9,83.46,-9,0.0,0.0,0.0
0,0,0,1.8,83.46,-9,0.0,0.0,0.0
0,0,0,1.8,83.36,-9,0.0,0.0,0.0
0,0,0,1.7,83.36,-9,0.0,0.0,0.0
0,0,0,1.7,90.86,-10,0.0,0.0,0.0
0,0,0,1.6,90.85,-10,0.0,0.0,0.0
1,0,0,1.6,90.66,-10,0.0,0.0,0.0
1,0,0,1.6,90.68,-10,0.0,0.0,0.0
1,0,0,1.6,88.11,-11,0.0,0.0,0.0
1,0,0,1.6,88.11,-11,0.0,0.0,0.0
1,0,0,1.6,90.85,-11,0.0,0.0,0.0
1,0,0,1.6,90.84,-11,0.0,0.0,0.0
1,0,0,1.7,93.78,-12,0.0,0.0,0.0
1,0,0,1.7,93.77,-12,0.0,0.0,0.0
1,0,0,1.7,90.46,-12,0.0,0.0,0.0
1,0,0,1.6,90.46,-12,0.0,0.0,0.0
1,0,0,1.6,87.34,-12,0.0,0.0,0.0
1,0,0,1.6,87.34,-12,0.0,0.0,0.0
1,0,0,1.7,84.96,-12,0.0,0.0,0.0
1,0,0,1.7,84.96,-12,0.0,0.0,0.0
1,0,0,1.8,83.2,-12,0.0,0.0,0.0
1,0,0,2.0,70.75,-10,0.0,0.0,0.0
1,27,519,2.3,73.26,-9,7.1331441510000015,7.1331441510000015,7.1331441510000015
1,41,690,2.8,57.87,-6,14.92279645,14.92279645,14.92279645
1,49,799,3.3,66.23,-4,22.80603673,22.80603673,22.80603673
1,23,0,3.0,56.92,-2,2.158548626,2.158548626,2.158548626
1,60,910,2.7,57.91,-1,36.22567883,36.22567883,36.22567883
1,64,938,2.4,53.78,0,41.38691398,41.38691398,41.38691398
1,66,961,2.1,59.87,0,45.14082908,45.14082908,45.14082908
1,67,972,1.9,55.63,0,47.58087389,47.58087389,47.58087389
1,67,980,1.7,58.88,1,48.61266629,48.61266629,48.61266629
1,66,978,1.5,58.86,1,48.14343206,48.14343206,48.14343206
1,64,972,1.4,60.68,2,46.17214086,46.17214086,46.17214086
1,62,958,1.2,60.66,1,42.79416183,42.79416183,42.79416183
1,57,936,1.2,61.34,1,38.19566637,38.19566637,38.19566637
1,53,902,0.9,61.33,0,32.28366986,32.28366986,32.28366986
1,46,852,0.6,72.29,0,25.4327748,25.4327748,25.4327748
1,39,772,0.5,77.79,-1,17.73744378,17.73744378,17.73744378
1,28,641,0.5,68.91,-2,9.854243726,9.854243726,9.854243726
1,14,389,0.4,74.29,-3,2.627827206,2.627827206,2.627827206
1,0,0,0.4,67.81,-4,0.0,0.0,0.0
1,0,0,0.8,73.2,-5,0.0,0.0,0.0
1,0,0,1.3,73.62,-6,0.0,0.0,0.0
1,0,0,1.5,73.6,-6,0.0,0.0,0.0
1,0,0,1.8,74.97,-7,0.0,0.0,0.0
1,0,0,2.0,74.95,-7,0.0,0.0,0.0
1,0,0,2.2,71.27,-8,0.0,0.0,0.0
